,name,model,acc
0,blood-transfusion-service-center.csv,mcts,0.7486631016042781
1,blood-transfusion-service-center.csv,xgb,0.7486631016042781
2,kr-vs-kp.csv,mcts,0.918648310387985
3,kr-vs-kp.csv,xgb,0.983729662077597
4,monks-problems-2.csv,mcts,0.8013245033112583
5,monks-problems-2.csv,xgb,0.8013245033112583
6,diabetes.csv,mcts,0.7135416666666666
7,diabetes.csv,xgb,0.6927083333333334
8,qsar-biodeg.csv,mcts,0.8257575757575758
9,qsar-biodeg.csv,xgb,0.8560606060606061
10,steel-plates-fault.csv,mcts,0.845679012345679
11,steel-plates-fault.csv,xgb,1.0
12,tic-tac-toe.csv,mcts,0.7166666666666667
13,tic-tac-toe.csv,xgb,0.95
14,wdbc.csv,mcts,0.9790209790209791
15,wdbc.csv,xgb,0.986013986013986
16,hill-valley.csv,mcts,0.5412541254125413
17,hill-valley.csv,xgb,0.5148514851485149
